,,Salary,,,,,,,
,Alperen ÅžengÃ¼n,35000000,,,,,,,
,Jalen Green,34944001,,,,,,,
,Khris Middleton,33944954,,,,,,,
,Aaron Gordon,33658037,,,,,,,
,Immanuel Quickley,33654814,,,,,,,
,Jrue Holiday,33654814,,,,,,,
,Jerami Grant,33584499,,,,,,,
,Mikal Bridges,33482145,,,,,,,
,Jordan Poole,33296296,,,,,,,
,Tyler Herro,32500000,,,,,,,
,Julius Randle,32400000,,,,,,,
,Dejounte Murray,32000001,,,,,,,
,Kristaps PorziÅ†Ä£is,31848215,,,,,,,
,CJ McCollum,31000000,,,,,,,
,Jalen Johnson,30864198,,,,,,,
,Isaiah Hartenstein,30801103,,,,,,,
,Andrew Wiggins,30731707,,,,,,,
,Derrick White,30666666,,,,,,,
,RJ Barrett,30000000,,,,,,,
,Anfernee Simons,28500000,,,,,,,
,Devin Vassell,28223215,,,,,,,
,Terry Rozier,28100000,,,,,,,
,Jarrett Allen,28000000,,,,,,,
,Tobias Harris,27705357,,,,,,,
,John Collins,27678571,,,,,,,
,Draymond Green,27000000,,,,,,,
,Deandre Ayton,26643031,,,,,,,
,Nic Claxton,26634146,,,,,,,
,Myles Turner,26580000,,,,,,,
,Trey Murphy III,25892857,,,,,,,
,Josh Giddey,25352272,,,,,,,
,Miles Bridges,25318251,,,,,,,
,Fred VanVleet,25000000,,,,,,,
,DeMar DeRozan,25000000,,,,,,,
,Jaden McDaniels,25000000,,,,,,,
,Dyson Daniels,25000000,,,,,,,
,Jonathan Kuminga,24900000,,,,,,,
,De'Andre Hunter,24737010,,,,,,,
,Damian Lillard,24570000,,,,,,,
,Kyle Kuzma,24393104,,,,,,,
,Keegan Murray,24137936,,,,,,,
,Kentavious Caldwell-Pope,23799569,,,,,,,
,Jabari Smith Jr.,23643411,,,,,,,
,Naz Reid,23303571,,,,,,,
,Nikola VuÄeviÄ‡,22841455,,,,,,,
,Dillon Brooks,22410605,,,,,,,
,Cameron Johnson,21621500,,,,,,,
,Christian Braun,21551726,,,,,,,
,Norman Powell,21551724,,,,,,,
,Jakob Poeltl,21124110,,,,,,,
,Josh Hart,21057065,,,,,,,
,Bradley Beal,20482758,,,,,,,
,Shaedon Sharpe,20089287,,,,,,,
,Jusuf NurkiÄ‡,20000000,,,,,,,
,Harrison Barnes,19920855,,,,,,,
,Collin Sexton,19920855,,,,,,,
,P.J. Washington,19813044,,,,,,,
,Ivica Zubac,19500000,,,,,,,
,Malik Monk,19472240,,,,,,,
,Aaron Nesmith,19418000,,,,,,,
,Santi Aldama,19375000,,,,,,,
,Rui Hachimura,19000000,,,,,,,
,Luguentz Dort,18975000,,,,,,,
,Alex Caruso,18893980,,,,,,,
,Andrew Nembhard,18797619,,,,,,,
,Zach Collins,18485916,,,,,,,
,Patrick Williams,18259259,,,,,,,
,Kevin Huerter,18222222,,,,,,,
,Keldon Johnson,18102000,,,,,,,
,Grayson Allen,18102000,,,,,,,
,Duncan Robinson,18080496,,,,,,,
,Klay Thompson,18000000,,,,,,,
,Bogdan BogdanoviÄ‡,17991071,,,,,,,
,Max Strus,17500000,,,,,,,
,Terance Mann,16875000,,,,,,,
,Nickeil Alexander-Walker,16666667,,,,,,,
,Nikola Jović,16200000,,,,,,,
,Onyeka Okongwu,16020000,,,,,,,
,Jonathan Isaac,15936452,,,,,,,
,Isaiah Stewart,15500000,,,,,,,
,Marcus Smart,15334769,,,,,,,
,Daniel Gafford,15161800,,,,,,,
,Deni Avdija,15000000,,,,,,,
,Steven Adams,15000000,,,,,,,
,Caris LeVert,14386320,,,,,,,
,Dennis SchrÃ¶der,14375000,,,,,,,
,Damian Lillard,14152174,,,,,,,
,Obi Toppin,14130434,,,,,,,
,Corey Kispert,14104000,,,,,,,
,Herbert Jones,14104000,,,,,,,
,Austin Reaves,14000000,,,,,,,
,Josh Green,13937574,,,,,,,
,Grant Williams,13825920,,,,,,,
,Bobby Portis,13731368,,,,,,,
,Kelly Olynyk,13666667,,,,,,,
,Robert Williams,13445754,,,,,,,
,Zaccharie Risacher,13445122,,,,,,,
,Mitchell Robinson,13376880,,,,,,,
,Coby White,13285713,,,,,,,
,Dorian Finney-Smith,13197720,,,,,,,
,Brandon Clarke,12954546,,,,,,,
,Isaiah Joe,12947835,,,,,,,
,Donte DiVincenzo,12700000,,,,,,,
,Brandon Miller,12500000,,,,,,,
,Alex Sarr,12370320,,,,,,,
,Davion Mitchell,12362338,,,,,,,
,Moses Moody,12350392,,,,,,,
,Jarred Vanderbilt,11990000,,,,,,,
,Matisse Thybulle,11968800,,,,,,,
,Gabe Vincent,11808240,,,,,,,
,Luke Kornet,11550000,,,,,,,
,Isaac Okoro,11500000,,,,,,,
,Luke Kennard,11499872,,,,,,,
,Maxi Kleber,11499872,,,,,,,
,Wendell Carter Jr.,11144093,,,,,,,
,Mike Conley,11108880,,,,,,,
,Jordan Clarkson,11000000,,,,,,,
,Jonas ValanÄiÅ«nas,11000000,,,,,,,
,T.J. McConnell,11000000,,,,,,,
,Royce O'Neale,10850000,,,,,,,
,Aaron Wiggins,10739683,,,,,,,
,Sam Hauser,10739683,,,,,,,
,Derrick Jones Jr.,10395000,,,,,,,
,Lonzo Ball,10200000,,,,,,,
,Amen Thompson,10125000,,,,,,,
,Caleb Martin,10107163,,,,,,,
,Stephon Castle,10102803,,,,,,,
,Pat Connaughton,10044644,,,,,,,
,Buddy Hield,10015680,,,,,,,
,Kyle Anderson,10000000,,,,,,,
,Bennedict Mathurin,10000000,,,,,,,
,Naji Marshall,9594044,,,,,,,
,Jalen Smith,9560520,,,,,,,
,Ty Jerome,9219512,,,,,,,
,Brook Lopez,9187573,,,,,,,
,Quentin Grimes,9069840,,,,,,,
,Ron Holland,9000000,,,,,,,
,Sam Merrill,9000000,,,,,,,
,Jaylin Williams,8781000,,,,,,,
,Kelly Oubre Jr.,8750000,,,,,,,
,Goga Bitadze,8741209,,,,,,,
,Simone Fontecchio,8657280,,,,,,,
,Georges Niang,8450704,,,,,,,
,Zeke Nnaji,8399983,,,,,,,
,Deandre Ayton,8382150,,,,,,,
,Tre Mann,8333333,,,,,,,
,Tre Jones,8307692,,,,,,,
,Kevon Looney,8237640,,,,,,,
,Max Christie,8000000,,,,,,,
,Isaiah Jackson,8000000,,,,,,,
,Ayo Dosunmu,7874853,,,,,,,
,Bilal Coulibaly,7874853,,,,,,,
,Payton Pritchard,7863240,,,,,,,
,Donovan Clingan,7714286,,,,,,,
,Kenrich Williams,7707709,,,,,,,
,Jeremy Sochan,7680524,,,,,,,
,Tyus Jones,7680524,,,,,,,
,Jevon Carter,7520040,,,,,,,
,Clint Capela,7518518,,,,,,,
,Ousmane Dieng,7275600,,,,,,,
,Jarace Walker,7232143,,,,,,,
,Dean Wade,7178400,,,,,,,
,Mark Williams,6700000,,,,,,,
,Day'Ron Sharpe,6670882,,,,,,,
,Ziaire Williams,6665520,,,,,,,
,John Konchar,6623456,,,,,,,
,Saddiq Bey,6576120,,,,,,,
,Jake LaRavia,6383525,,,,,,,
,Cam Thomas,6332520,,,,,,,
,D'Angelo Russell,6165000,,,,,,,
,Al Horford,6127080,,,,,,,
,Haywood Highsmith,6045000,,,,,,,
,Nicolas Batum,6016080,,,,,,,
,Guerschon Yabusele,6000000,,,,,,,
,Kris Dunn,5820240,,,,,,,
,Dario Saric,5742480,,,,,,,
,Bradley Beal,5685000,,,,,,,
,Paul Reed,5685000,,,,,,,
,Kevin Porter Jr.,5601600,,,,,,,
,Marcus Smart,5529720,,,,,,,
,Andre Drummond,5500000,,,,,,,
,Moritz Wagner,5480297,,,,,,,
,Nick Richards,5480297,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
